Date,SPY 1.0x (Baseline),Fixed 1.5x (全仓杠杆),Fixed 2.0x (全仓杠杆),Fixed 3.0x (全仓杠杆),UPRO 3x (真实ETF),SSO 2x (真实ETF),Naive Dip 2x (无风控),Anti-Blowup 2x (完整风控),Anti-Blowup 2.5x (激进风控),Kelly半凯利 2.5x,阶梯加仓法 (最推荐)
2014-01-02,,,,,,,,,,,
2014-01-03,0.9998360294757757,0.9997540442136634,0.9996720589515513,0.999508088427327,0.9982895977909657,0.9987073329796349,,,,,
2014-01-06,0.996938636514935,0.9954083111461193,0.9938782233597814,0.9908187605345392,0.9916630246039798,0.9941341342919441,0.9971021318742036,0.9978214923119425,0.9978214923119425,0.9971021318742036,0.9971021318742036
2014-01-07,1.003061363485065,1.0045783037961955,1.0060860860712968,1.0090741852681298,1.0088712378935059,1.0055670505764116,1.0032258629557294,1.0021111966498117,1.0021111966498117,1.0032258629557294,1.0032258629557294
2014-01-08,1.0032802298250196,1.0049070997969494,1.0065251387301943,1.0097347202514684,1.0099399566724805,1.0059644787232365,1.003444765189198,1.0022642579603915,1.0022642579603915,1.003444765189198,1.003444765189198
2014-01-09,1.003936111921917,1.0058925182616143,1.0078411455624736,1.0117150251730875,1.010688092115097,1.0075551565276506,1.0041007548490637,1.0027229105028517,1.0027229105028517,1.0041007548490637,1.0041007548490637
2014-01-10,1.0066693295234,1.0100003341427206,1.0133288436855676,1.0199782122872383,1.019345844631479,1.0119293596202705,1.006834420691168,1.0046338507639854,1.0046338507639854,1.006834420691168,1.006834420691168
2014-01-13,0.9932753649906033,0.9898429076817024,0.9863637019168995,0.9792650855465979,0.9796918240074349,0.9858830562248619,0.9934382595828117,0.9952770333467256,0.9952770333467256,0.9934382595828117,0.9934382595828117
2014-01-14,1.004099877611008,1.0060235672813491,1.0078620833648466,1.0112805798923807,1.010260540008839,1.006759737190684,1.0042645473953042,1.0028694618228449,1.0028694618228449,1.0042645473953042,1.0042645473953042
2014-01-15,1.0095125435914771,1.0141581209142947,1.0187279761575294,1.027634701967913,1.0270413303814427,1.0183910860269056,1.0096781010390021,1.0066536851634973,1.0066536851634973,1.0096781010390021,1.0096781010390021
2014-01-16,1.0081999600571492,1.0121801852375651,1.0160788449982348,1.0236262632486428,1.0227660031028691,1.015011136996804,1.0083653022443677,1.0057374786812572,1.0057374786812572,1.0083653022443677,1.0083653022443677
2014-01-17,1.003936111921917,1.005759163466597,1.0074845064540259,1.0106389975077874,1.0095123399715549,1.0064614851023563,1.0041007548490637,1.0027600749617256,1.0027600749617256,1.0041007548490637,1.0041007548490637
2014-01-21,1.0068879910282214,1.0101950226194185,1.0134091313962121,1.019553760425465,1.0183835132703931,1.0120289378525655,1.0070531180559108,1.0048239698003867,1.0048239698003867,1.0070531180559108,1.0070531180559108
2014-01-22,1.0075440779602518,1.011182385303821,1.014729803593783,1.0215467802191602,1.0206282425715807,1.0140172046733236,1.0077093125845022,1.0052822892132864,1.0052822892132864,1.0077093125845022,1.0077093125845022
2014-01-23,0.9992892220873725,0.9987553882605117,0.9981023458739388,0.9964380382120068,0.996152160233016,0.9976136615543403,0.9994531029365988,0.9995168617611498,0.9995168617611498,0.9994531029365988,0.9994531029365988
2014-01-24,0.9779681378950118,0.9667908469895747,0.9555108244633129,0.9326572863467635,0.9308463697215335,0.9546673717041452,0.9781285221415463,0.9845887029426799,0.9845887029426799,0.9781285221415463,0.9781285221415463
