Date,Naive Dip (无风控),Trend-Filtered (仅趋势),Risk-Managed (完整风控),Conservative (保守风控),Aggressive (激进风控),SPY_BH
2014-01-02,,,,,,
2014-01-03,,,,,,0.9998358246406424
2014-01-06,0.9971023361492887,0.9979716353045021,0.9974789974076418,0.9974789974076418,0.9974789974076418,0.996938636514935
2014-01-07,1.0032262733541433,1.0022621286507547,1.0027169416347903,1.0027169416347903,1.0027169416347903,1.0030615683201982
2014-01-08,1.0034448683293065,1.0024149980777792,1.002903745451249,1.002903745451249,1.002903745451249,1.0032801274074528
2014-01-09,1.0041010629923317,1.0028738629091667,1.0034644893353273,1.0034644893353273,1.0034644893353273,1.0039362143394832
2014-01-10,1.0068346269600947,1.0047850190366017,1.005800204806234,1.005800204806234,1.005800204806234,1.0066693295233995
2014-01-13,0.9934387704104352,0.9954270083638556,0.9943585147412927,0.9943585147412927,0.9943585147412927,0.9932756722433028
2014-01-14,1.0042649580065124,1.0030205067214923,1.003623474876564,1.003623474876564,1.003623474876564,1.0041000824461408
2014-01-15,1.0096783078905105,1.0068051560117957,1.0082489325868809,1.0082489325868809,1.0082489325868809,1.0095125435914765
2014-01-16,1.0083655088269246,1.005888811668268,1.0071280784011407,1.0071280784011407,1.0071280784011407,1.0081999600571485
2014-01-17,1.0041010629923317,1.0029110314677327,1.0034864515787603,1.0034864515787603,1.0034864515787603,1.003936214339483
2014-01-21,1.0070533243696418,1.0049751651775205,1.0060090900007554,1.0060090900007554,1.0060090900007554,1.0068879910282207
2014-01-22,1.0077097239014348,1.005433696665721,1.006569729658183,1.006569729658183,1.006569729658183,1.0075442827953847
2014-01-23,0.9994535125620918,0.9996674020440302,0.9995186546838971,0.9995186546838971,0.9995186546838971,0.9992894269225053
2014-01-24,0.9781288249639148,0.9847369261910655,0.9812848584272675,0.9812848584272675,0.9812848584272675,0.977968240312578
2014-01-27,0.9733174819538785,0.9813462327527954,0.9771578868822336,0.9771578868822336,0.9771578868822336,0.9731576872065093
2014-01-28,0.9796638189679181,0.9854368592729982,0.9823429457506786,0.9823429457506786,0.9823429457506786,0.9789526779633239
2014-01-29,0.9702244366804179,0.9788110482497093,0.9742642010848617,0.9742642010848617,0.9742642010848617,0.9695495163330411
2014-01-30,0.9805091939136263,0.9865782000812362,0.9834756236903719,0.9834756236903719,0.9834756236903719,0.9798271191474758
2014-01-31,0.9747653081699499,0.9822436213029511,0.9785385319642355,0.9785385319642355,0.9785385319642355,0.9740872290415248
2014-02-03,0.9506045503691991,0.9645440515129022,0.958013125130214,0.958013125130214,0.958013125130214,0.9521647488977306
2014-02-04,0.9579294666371111,0.9699493806594395,0.9642846159065068,0.964175206919794,0.9643869795548077,0.9588346929265305
2014-02-05,0.9564584955522063,0.9689758272829779,0.9631555397773185,0.9630651902829881,0.9632388480244761,0.95763169618853
2014-02-06,0.9715941248200181,0.9791983017966326,0.975003488656814,0.9747143856212251,0.9752854994679708,0.9702601918281021
2014-02-07,0.9835791562811939,0.9882868019370276,0.9857743202381262,0.9853945186151428,0.9861470025607886,0.9822869842635406
2014-02-10,0.9853858200482193,0.9895426952600729,0.9871922974568664,0.9864779125938512,0.9878652077798801,0.9840912745354079
2014-02-11,0.9961699116500303,0.9971234044571525,0.9958072759478253,0.9933649079812304,0.9982102287516776,0.9948611985927822
2014-02-12,0.9966624703191014,0.997468525545311,0.9961816865141268,0.9936637017954348,0.9986606056059891,0.9953531101654552
2014-02-13,1.0018081342331773,1.001073403390242,1.0003218995952061,0.9969675002989089,1.0036412244134156,1.0004920139902393
2014-02-14,1.0073370360707008,1.0049407962305046,1.0048765081869464,1.0005989687247303,1.0091248907559254,1.0060136522616359
2014-02-18,1.0085411025569724,1.005781637818841,1.0058682301709785,1.0013889690771316,1.0103199884587495,1.0072161369118031
2014-02-19,1.001862692053695,1.001119541404636,1.0003682779980196,0.9970086009364524,1.0036908359126395,1.0005465001357032
2014-02-20,1.0077750369192542,1.0052551128947882,1.0052089737398258,1.0008681517800722,1.0095189638879272,1.0064510776888451
