date,level,leverage,action,close,reason
2021-12-02,0,1.0,LEVEL_DOWN,431.14874267578125,DD=-2.6% RSI=44 → Level 0
2021-12-03,1,1.3,LEVEL_UP,427.3972473144531,DD=-3.5% RSI=36 VIX=31 → Level 1
2021-12-06,0,1.0,LEVEL_DOWN,432.4590759277344,DD=-2.3% RSI=42 → Level 0
2021-12-20,1,1.3,LEVEL_UP,430.3743896484375,DD=-3.0% RSI=51 VIX=23 → Level 1
2021-12-21,0,1.0,LEVEL_DOWN,438.01739501953125,DD=-1.3% RSI=60 → Level 0
2022-01-14,1,1.3,LEVEL_UP,439.587646484375,DD=-2.7% RSI=30 VIX=19 → Level 1
2022-01-18,2,1.6,LEVEL_UP,431.8027648925781,DD=-4.4% RSI=24 VIX=23 → Level 2
2022-01-19,3,2.0,LEVEL_UP,427.31903076171875,DD=-5.4% RSI=20 VIX=24 → Level 3
2022-01-21,2,1.6,LEVEL_DOWN,414.2937316894531,DD=-8.3% RSI=16 → Level 2
2022-01-24,3,2.0,LEVEL_UP,416.0531921386719,DD=-7.9% RSI=14 VIX=30 → Level 3
2022-01-25,2,1.6,LEVEL_DOWN,410.9736022949219,DD=-9.1% RSI=13 → Level 2
2022-01-26,1,1.3,LEVEL_DOWN,409.9425354003906,DD=-9.3% RSI=15 → Level 1
2022-01-27,0,1.0,LEVEL_DOWN,407.9183349609375,DD=-9.7% RSI=15 → Level 0
2022-01-28,1,1.3,LEVEL_UP,418.049072265625,DD=-7.5% RSI=30 VIX=28 → Level 1
2022-01-31,2,1.6,LEVEL_UP,425.57861328125,DD=-5.8% RSI=39 VIX=25 → Level 2
2022-02-02,1,1.3,LEVEL_DOWN,432.61627197265625,DD=-4.3% RSI=40 → Level 1
2022-02-03,2,1.6,LEVEL_UP,422.4476318359375,DD=-6.5% RSI=38 VIX=24 → Level 2
2022-02-09,1,1.3,LEVEL_DOWN,432.79595947265625,DD=-4.2% RSI=58 → Level 1
2022-02-10,2,1.6,LEVEL_UP,425.0205078125,DD=-5.9% RSI=58 VIX=24 → Level 2
2022-02-11,1,1.3,LEVEL_DOWN,416.6396484375,DD=-7.8% RSI=50 → Level 1
2022-02-14,0,1.0,LEVEL_DOWN,415.27752685546875,DD=-8.1% RSI=53 → Level 0
2022-02-15,1,1.3,LEVEL_UP,421.974609375,DD=-6.6% RSI=58 VIX=26 → Level 1
2022-02-16,2,1.6,LEVEL_UP,422.4476318359375,DD=-6.5% RSI=60 VIX=24 → Level 2
2022-02-17,1,1.3,LEVEL_DOWN,413.4235534667969,DD=-8.5% RSI=47 → Level 1
2022-02-18,0,1.0,LEVEL_DOWN,410.74658203125,DD=-9.1% RSI=39 → Level 0
2022-03-18,1,1.3,LEVEL_UP,421.7863464355469,DD=-5.3% RSI=55 VIX=24 → Level 1
2022-03-21,2,1.6,LEVEL_UP,421.66302490234375,DD=-5.4% RSI=60 VIX=24 → Level 2
2022-03-22,1,1.3,LEVEL_DOWN,426.59698486328125,DD=-4.3% RSI=58 → Level 1
2022-03-23,2,1.6,LEVEL_UP,421.1031494140625,DD=-5.5% RSI=56 VIX=24 → Level 2
2022-03-24,1,1.3,LEVEL_DOWN,427.4510803222656,DD=-4.1% RSI=62 → Level 1
2022-03-25,0,1.0,LEVEL_DOWN,429.5384826660156,DD=-2.3% RSI=74 → Level 0
2022-04-06,1,1.3,LEVEL_UP,423.68408203125,DD=-3.3% RSI=56 VIX=22 → Level 1
2022-04-07,0,1.0,LEVEL_DOWN,425.8189697265625,DD=-2.8% RSI=54 → Level 0
2022-04-08,1,1.3,LEVEL_UP,424.6803894042969,DD=-3.0% RSI=53 VIX=21 → Level 1
2022-04-11,0,1.0,LEVEL_DOWN,417.421630859375,DD=-4.7% RSI=42 → Level 0
2022-05-09,0,1.0,EMERGENCY_EXIT,377.8067932128906,组合亏损-21.1%，紧急去杠杆
2022-05-10,0,1.0,EMERGENCY_EXIT,378.6796875,组合亏损-20.9%，紧急去杠杆
2022-05-11,0,1.0,EMERGENCY_EXIT,372.6639709472656,组合亏损-22.2%，紧急去杠杆
2022-05-12,0,1.0,EMERGENCY_EXIT,372.27496337890625,组合亏损-22.2%，紧急去杠杆
2022-05-13,0,1.0,EMERGENCY_EXIT,381.17523193359375,组合亏损-20.4%，紧急去杠杆
2022-05-16,0,1.0,EMERGENCY_EXIT,379.6285705566406,组合亏损-20.7%，紧急去杠杆
2022-05-18,0,1.0,EMERGENCY_EXIT,371.8194885253906,组合亏损-22.3%，紧急去杠杆
2022-05-19,0,1.0,EMERGENCY_EXIT,369.542236328125,组合亏损-22.8%，紧急去杠杆
2022-05-20,0,1.0,EMERGENCY_EXIT,369.70355224609375,组合亏损-22.8%，紧急去杠杆
2022-05-23,0,1.0,EMERGENCY_EXIT,376.6206970214844,组合亏损-21.3%，紧急去杠杆
2022-05-24,0,1.0,EMERGENCY_EXIT,373.7456970214844,组合亏损-21.9%，紧急去杠杆
