date,action,reason,position,regime,close
2014-01-31,DIP_BUY,"Dip Score=2, Regime=震荡, Pos=0.98x",0.98,震荡,145.1254119873047
2014-10-13,TRAILING_STOP,尾随止损触发: -6.7% (阈值: 6%),0.54,震荡,154.77157592773438
2014-10-21,DIP_BUY,"Dip Score=1, Regime=回调, Pos=1.06x",1.064840480752071,回调,160.2716827392578
2014-10-23,REGIME_CHANGE,回调 → 震荡,0.6809396546295345,震荡,160.9818572998047
2014-10-24,REGIME_CHANGE,震荡 → 正常上涨,0.8228779158469934,正常上涨,162.22059631347656
2014-10-27,REGIME_CHANGE,正常上涨 → 震荡,0.7122287825213668,震荡,161.9976806640625
2014-10-28,REGIME_CHANGE,震荡 → 正常上涨,0.8128321233839643,正常上涨,163.85580444335938
2014-11-20,REGIME_CHANGE,正常上涨 → 强势上涨,1.5,强势上涨,169.77713012695312
2014-12-12,REGIME_CHANGE,强势上涨 → 回调,1.3599999999999999,回调,165.90391540527344
2014-12-17,REGIME_CHANGE,回调 → 强势上涨,1.1839623467709512,强势上涨,166.64712524414062
2015-01-05,REGIME_CHANGE,强势上涨 → 回调,1.1447788498901543,回调,167.50885009765625
2015-01-08,REGIME_CHANGE,回调 → 强势上涨,0.8106952554120888,强势上涨,170.9798583984375
2015-01-13,REGIME_CHANGE,强势上涨 → 回调,1.1334406124378897,回调,167.80775451660156
2015-01-21,REGIME_CHANGE,回调 → 震荡,0.928218133727165,震荡,168.63815307617188
2015-01-22,REGIME_CHANGE,震荡 → 正常上涨,1.017532809867841,正常上涨,171.14598083496094
2015-01-27,REGIME_CHANGE,正常上涨 → 震荡,0.8322000049157825,震荡,168.3558349609375
2015-01-28,REGIME_CHANGE,震荡 → 回调,1.0757692177035718,回调,166.19680786132812
2015-02-03,REGIME_CHANGE,回调 → 正常上涨,0.8381490656833996,正常上涨,170.09970092773438
2015-02-26,REGIME_CHANGE,正常上涨 → 强势上涨,1.2730916523355669,强势上涨,175.530517578125
2015-03-10,REGIME_CHANGE,强势上涨 → 回调,1.3463083006933916,回调,170.21591186523438
2015-03-12,REGIME_CHANGE,回调 → 正常上涨,1.4154112454643457,正常上涨,171.97633361816406
2015-03-13,REGIME_CHANGE,正常上涨 → 震荡,0.9604456361078046,震荡,170.92181396484375
2015-03-16,REGIME_CHANGE,震荡 → 正常上涨,1.3265662565631584,正常上涨,173.20545959472656
2015-03-25,REGIME_CHANGE,正常上涨 → 震荡,0.8975238621860743,震荡,171.6262969970703
2015-03-27,REGIME_CHANGE,震荡 → 强势上涨,1.113977266510668,强势上涨,171.60975646972656
2015-04-07,REGIME_CHANGE,强势上涨 → 正常上涨,1.0988682959701375,正常上涨,172.89414978027344
2015-04-10,REGIME_CHANGE,正常上涨 → 强势上涨,1.2166298819810497,强势上涨,175.19631958007812
2015-04-20,REGIME_CHANGE,强势上涨 → 正常上涨,1.363326527431787,正常上涨,175.03787231445312
2015-04-24,REGIME_CHANGE,正常上涨 → 强势上涨,1.5,强势上涨,176.5392303466797
2015-04-29,REGIME_CHANGE,强势上涨 → 正常上涨,1.5,正常上涨,175.63841247558594
