Ticker,FiscalPeriod,PeriodEndDate,ReportDate,Hour,ReactionDate,EPS_Actual,EPS_Estimate,SurprisePct,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,DayChange,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
AAPL,2026 Q1,2025-12-31,2026-01-25,amc,2026-01-26,2.84,2.7257,0.041934,251.48,256.56,249.8,255.41,248.04,0.013868730849862917,0.015627485287100392,0.0297129495242703,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0283
AAPL,2025 Q4,2025-09-30,2025-10-25,amc,2025-10-27,1.85,1.8075,0.023513000000000003,264.88,269.12,264.6501,268.81,262.82,0.007838064074271373,0.01483690727876777,0.022791263982954148,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0171
AAPL,2025 Q3,2025-06-30,2025-07-25,amc,2025-07-28,1.57,1.4626,0.073431,214.03,214.845,213.06,214.05,213.88,0.000701327847391087,9.344484418077014e-05,0.0007948382270432762,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0369
AAPL,2025 Q2,2025-03-31,2025-04-25,amc,2025-04-28,1.65,1.6596,-0.005785,210.0,211.5,207.46,210.14,209.28,0.0034403669724770588,0.0006666666666666017,0.004109327217125312,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0017
ABBV,2025 Q4,2025-12-31,2026-01-25,amc,2026-01-26,2.71,2.7053,0.0017369999999999998,219.11,221.4771,218.5,220.77,219.26,-0.0006841193104076314,0.007576103327095963,0.0068868010581046215,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0022
ABBV,2025 Q3,2025-09-30,2025-10-25,amc,2025-10-27,1.86,1.8103,0.027454,227.95,228.6,227.12,228.03,227.99,-0.00017544629150410308,0.0003509541566133473,0.00017544629150397843,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0137
ABBV,2025 Q2,2025-06-30,2025-07-25,amc,2025-07-28,2.97,2.9421,0.009483,191.21,191.21,187.64,188.52,190.28,0.0048875341601850265,-0.01406830186705715,-0.00924952701282316,Inline,Neutral,Expectation Low,市场可能过于保守，仍有上涨空间,0.0034
ABBV,2025 Q1,2025-03-31,2025-04-25,amc,2025-04-28,2.46,2.4323,0.011388,188.0,193.12,187.635,192.34,186.06,0.010426744061055562,0.02308510638297874,0.03375255293991186,Inline,Neutral,Expectation Low,市场可能过于保守，仍有上涨空间,0.0134
ABNB,2025 Q4,2025-12-31,2026-01-25,amc,2026-01-26,0.56,0.6702,-0.16442900000000002,132.49,134.51,131.18,133.39,132.15,0.002572833900870249,0.006792965506830532,0.009383276579644197,Strong Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0801
ABNB,2025 Q3,2025-09-30,2025-10-25,amc,2025-10-27,2.21,2.3883,-0.074656,128.23,129.54,126.38,129.07,127.99,0.0018751464958199461,0.00655072915854327,0.008438159231189924,Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0355
ABNB,2025 Q2,2025-06-30,2025-07-25,amc,2025-07-28,1.02,0.9565,0.066388,141.3,143.3,141.0201,142.16,141.31,-7.076640011316187e-05,0.006086341118188147,0.00601514400962419,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0344
ABNB,2025 Q1,2025-03-31,2025-04-25,amc,2025-04-28,0.24,0.2403,-0.001248,122.51,125.23,122.1099,123.3,122.51,0.0,0.006448453187494833,0.006448453187494833,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,0.0007
ACN,2026 Q1,2025-12-31,2026-01-25,amc,2026-01-26,3.94,3.7767,0.043239,283.25,284.59,276.1401,280.71,281.07,0.007756074999110566,-0.008967343336275448,-0.0012808197246238077,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0222
