actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.95,2.011,2025-12-31,4,-0.061,-3.0333,AMZN,2025,2025-12-31,2026-01-25,2026-01-25,AMZN,2025 Q4,1.95,2.011
1.95,1.605,2025-09-30,3,0.345,21.4953,AMZN,2025,2025-09-30,2025-10-25,2025-10-25,AMZN,2025 Q3,1.95,1.605
1.68,1.3545,2025-06-30,2,0.3255,24.031,AMZN,2025,2025-06-30,2025-07-25,2025-07-25,AMZN,2025 Q2,1.68,1.3545
1.59,1.3893,2025-03-31,1,0.2007,14.4461,AMZN,2025,2025-03-31,2025-04-25,2025-04-25,AMZN,2025 Q1,1.59,1.3893
