actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
4.67,4.4569,2025-12-31,4,0.2131,4.7814,PGR,2025,2025-12-31,2026-01-25,2026-01-25,PGR,2025 Q4,4.67,4.4569
4.05,5.0878,2025-09-30,3,-1.0378,-20.3978,PGR,2025,2025-09-30,2025-10-25,2025-10-25,PGR,2025 Q3,4.05,5.0878
4.88,4.4716,2025-06-30,2,0.4084,9.1332,PGR,2025,2025-06-30,2025-07-25,2025-07-25,PGR,2025 Q2,4.88,4.4716
4.65,4.84,2025-03-31,1,-0.19,-3.9256,PGR,2025,2025-03-31,2025-04-25,2025-04-25,PGR,2025 Q1,4.65,4.84
