actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.56,0.6702,2025-12-31,4,-0.1102,-16.4429,ABNB,2025,2025-12-31,2026-01-25,2026-01-25,ABNB,2025 Q4,0.56,0.6702
2.21,2.3883,2025-09-30,3,-0.1783,-7.4656,ABNB,2025,2025-09-30,2025-10-25,2025-10-25,ABNB,2025 Q3,2.21,2.3883
1.02,0.9565,2025-06-30,2,0.0635,6.6388,ABNB,2025,2025-06-30,2025-07-25,2025-07-25,ABNB,2025 Q2,1.02,0.9565
0.24,0.2403,2025-03-31,1,-0.0003,-0.1248,ABNB,2025,2025-03-31,2025-04-25,2025-04-25,ABNB,2025 Q1,0.24,0.2403
