actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
4.47,4.4395,2025-12-31,4,0.0305,0.687,SYK,2025,2025-12-31,2026-01-25,2026-01-25,SYK,2025 Q4,4.47,4.4395
3.19,3.1641,2025-09-30,3,0.0259,0.8186,SYK,2025,2025-09-30,2025-10-25,2025-10-25,SYK,2025 Q3,3.19,3.1641
3.13,3.0987,2025-06-30,2,0.0313,1.0101,SYK,2025,2025-06-30,2025-07-25,2025-07-25,SYK,2025 Q2,3.13,3.0987
2.84,2.7259,2025-03-31,1,0.1141,4.1858,SYK,2025,2025-03-31,2025-04-25,2025-04-25,SYK,2025 Q1,2.84,2.7259
