actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
7.34,7.7108,2025-12-31,4,-0.3708,-4.8088,ASML.AS,2025,2025-12-31,2026-01-25,2026-01-25,ASML,2025 Q4,7.34,7.7108
5.48,5.56,2025-09-30,3,-0.08,-1.4388,ASML.AS,2025,2025-09-30,2025-10-25,2025-10-25,ASML,2025 Q3,5.48,5.56
5.9,5.3042,2025-06-30,2,0.5958,11.2326,ASML.AS,2025,2025-06-30,2025-07-25,2025-07-25,ASML,2025 Q2,5.9,5.3042
6.0,5.891,2025-03-31,1,0.109,1.8503,ASML.AS,2025,2025-03-31,2025-04-25,2025-04-25,ASML,2025 Q1,6.0,5.891
