actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
2.46,2.4633,2025-12-31,4,-0.0033,-0.134,JNJ,2025,2025-12-31,2026-01-25,2026-01-25,JNJ,2025 Q4,2.46,2.4633
2.8,2.7848,2025-09-30,3,0.0152,0.5458,JNJ,2025,2025-09-30,2025-10-25,2025-10-25,JNJ,2025 Q3,2.8,2.7848
2.77,2.7078,2025-06-30,2,0.0622,2.2971,JNJ,2025,2025-06-30,2025-07-25,2025-07-25,JNJ,2025 Q2,2.77,2.7078
2.77,2.6142,2025-03-31,1,0.1558,5.9598,JNJ,2025,2025-03-31,2025-04-25,2025-04-25,JNJ,2025 Q1,2.77,2.6142
