actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.14,0.8146,2025-12-31,4,-0.6746,-82.8137,UBER,2025,2025-12-31,2026-01-25,2026-01-25,UBER,2025 Q4,0.14,0.8146
3.11,0.6986,2025-09-30,3,2.4114,345.1761,UBER,2025,2025-09-30,2025-10-25,2025-10-25,UBER,2025 Q3,3.11,0.6986
0.63,0.6395,2025-06-30,2,-0.0095,-1.4855,UBER,2025,2025-06-30,2025-07-25,2025-07-25,UBER,2025 Q2,0.63,0.6395
0.83,0.5144,2025-03-31,1,0.3156,61.353,UBER,2025,2025-03-31,2025-04-25,2025-04-25,UBER,2025 Q1,0.83,0.5144
