actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
3.06,2.9959,2025-12-31,3,0.0641,2.1396,LOW,2026,2025-12-31,2026-01-25,2026-01-25,LOW,2026 Q3,3.06,2.9959
4.33,4.2857,2025-09-30,2,0.0443,1.0337,LOW,2026,2025-09-30,2025-10-25,2025-10-25,LOW,2026 Q2,4.33,4.2857
2.92,2.9058,2025-06-30,1,0.0142,0.4887,LOW,2026,2025-06-30,2025-07-25,2025-07-25,LOW,2026 Q1,2.92,2.9058
1.93,1.8597,2025-03-31,4,0.0703,3.7802,LOW,2025,2025-03-31,2025-04-25,2025-04-25,LOW,2025 Q4,1.93,1.8597
