actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.43,1.4047,2026-03-31,4,0.0253,1.8011,TJX,2026,2026-03-31,2026-04-25,2026-04-25,TJX,2026 Q4,1.43,1.4047
1.28,1.2343,2025-12-31,3,0.0457,3.7025,TJX,2026,2025-12-31,2026-01-25,2026-01-25,TJX,2026 Q3,1.28,1.2343
1.1,1.0235,2025-09-30,2,0.0765,7.4744,TJX,2026,2025-09-30,2025-10-25,2025-10-25,TJX,2026 Q2,1.1,1.0235
0.92,0.9144,2025-06-30,1,0.0056,0.6124,TJX,2026,2025-06-30,2025-07-25,2025-07-25,TJX,2026 Q1,0.92,0.9144
