actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.52,1.4628,2025-12-31,4,0.0572,3.9103,CVX,2025,2025-12-31,2026-01-25,2026-01-25,CVX,2025 Q4,1.52,1.4628
1.85,1.6984,2025-09-30,3,0.1516,8.926,CVX,2025,2025-09-30,2025-10-25,2025-10-25,CVX,2025 Q3,1.85,1.6984
1.77,1.722,2025-06-30,2,0.048,2.7875,CVX,2025,2025-06-30,2025-07-25,2025-07-25,CVX,2025 Q2,1.77,1.722
2.18,2.2065,2025-03-31,1,-0.0265,-1.201,CVX,2025,2025-03-31,2025-04-25,2025-04-25,CVX,2025 Q1,2.18,2.2065
