actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
4.82,4.1462,2025-12-31,2,0.6738,16.251,FDX,2026,2025-12-31,2026-01-25,2026-01-25,FDX,2026 Q2,4.82,4.1462
3.83,3.6297,2025-09-30,1,0.2003,5.5184,FDX,2026,2025-09-30,2025-10-25,2025-10-25,FDX,2026 Q1,3.83,3.6297
6.07,5.8715,2025-06-30,4,0.1985,3.3807,FDX,2025,2025-06-30,2025-07-25,2025-07-25,FDX,2025 Q4,6.07,5.8715
4.51,4.5797,2025-03-31,3,-0.0697,-1.5219,FDX,2025,2025-03-31,2025-04-25,2025-04-25,FDX,2025 Q3,4.51,4.5797
