actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
5.23,5.0539,2025-12-31,4,0.1761,3.4844,JPM,2025,2025-12-31,2026-01-25,2026-01-25,JPM,2025 Q4,5.23,5.0539
5.07,4.8839,2025-09-30,3,0.1861,3.8105,JPM,2025,2025-09-30,2025-10-25,2025-10-25,JPM,2025 Q3,5.07,4.8839
4.96,4.5268,2025-06-30,2,0.4332,9.5697,JPM,2025,2025-06-30,2025-07-25,2025-07-25,JPM,2025 Q2,4.96,4.5268
4.91,4.66,2025-03-31,1,0.25,5.3648,JPM,2025,2025-03-31,2025-04-25,2025-04-25,JPM,2025 Q1,4.91,4.66
