actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
3.94,3.7767,2025-12-31,1,0.1633,4.3239,ACN,2026,2025-12-31,2026-01-25,2026-01-25,ACN,2026 Q1,3.94,3.7767
3.03,2.9926,2025-09-30,4,0.0374,1.2497,ACN,2025,2025-09-30,2025-10-25,2025-10-25,ACN,2025 Q4,3.03,2.9926
3.49,3.3562,2025-06-30,3,0.1338,3.9867,ACN,2025,2025-06-30,2025-07-25,2025-07-25,ACN,2025 Q3,3.49,3.3562
2.82,2.8438,2025-03-31,2,-0.0238,-0.8369,ACN,2025,2025-03-31,2025-04-25,2025-04-25,ACN,2025 Q2,2.82,2.8438
