actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.56,0.5978,2025-12-31,1,-0.0378,-6.3232,SBUX,2026,2025-12-31,2026-01-25,2026-01-25,SBUX,2026 Q1,0.56,0.5978
0.52,0.5743,2025-09-30,4,-0.0543,-9.455,SBUX,2025,2025-09-30,2025-10-25,2025-10-25,SBUX,2025 Q4,0.52,0.5743
0.61,0.6616,2025-06-30,3,-0.0516,-7.7993,SBUX,2025,2025-06-30,2025-07-25,2025-07-25,SBUX,2025 Q3,0.61,0.6616
0.41,0.496,2025-03-31,2,-0.086,-17.3387,SBUX,2025,2025-03-31,2025-04-25,2025-04-25,SBUX,2025 Q2,0.41,0.496
