actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
2.38,2.2236,2025-12-31,4,0.1564,7.0336,UPS,2025,2025-12-31,2026-01-25,2026-01-25,UPS,2025 Q4,2.38,2.2236
1.74,1.3117,2025-09-30,3,0.4283,32.6523,UPS,2025,2025-09-30,2025-10-25,2025-10-25,UPS,2025 Q3,1.74,1.3117
1.55,1.5761,2025-06-30,2,-0.0261,-1.656,UPS,2025,2025-06-30,2025-07-25,2025-07-25,UPS,2025 Q2,1.55,1.5761
1.49,1.3945,2025-03-31,1,0.0955,6.8483,UPS,2025,2025-03-31,2025-04-25,2025-04-25,UPS,2025 Q1,1.49,1.3945
