actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.59,0.5657,2025-12-31,4,0.0243,4.2956,DDOG,2025,2025-12-31,2026-01-25,2026-01-25,DDOG,2025 Q4,0.59,0.5657
0.55,0.4747,2025-09-30,3,0.0753,15.8627,DDOG,2025,2025-09-30,2025-10-25,2025-10-25,DDOG,2025 Q3,0.55,0.4747
0.46,0.4263,2025-06-30,2,0.0337,7.9052,DDOG,2025,2025-06-30,2025-07-25,2025-07-25,DDOG,2025 Q2,0.46,0.4263
0.46,0.44,2025-03-31,1,0.02,4.5455,DDOG,2025,2025-03-31,2025-04-25,2025-04-25,DDOG,2025 Q1,0.46,0.44
