actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.71,1.7016,2025-12-31,4,0.0084,0.4937,XOM,2025,2025-12-31,2026-01-25,2026-01-25,XOM,2025 Q4,1.71,1.7016
1.88,1.8352,2025-09-30,3,0.0448,2.4412,XOM,2025,2025-09-30,2025-10-25,2025-10-25,XOM,2025 Q3,1.88,1.8352
1.64,1.5599,2025-06-30,2,0.0801,5.1349,XOM,2025,2025-06-30,2025-07-25,2025-07-25,XOM,2025 Q2,1.64,1.5599
1.76,1.7453,2025-03-31,1,0.0147,0.8423,XOM,2025,2025-03-31,2025-04-25,2025-04-25,XOM,2025 Q1,1.76,1.7453
