actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.32,0.8048,2025-12-31,3,0.5152,64.0159,MDB,2026,2025-12-31,2026-01-25,2026-01-25,MDB,2026 Q3,1.32,0.8048
1.0,0.6663,2025-09-30,2,0.3337,50.0825,MDB,2026,2025-09-30,2025-10-25,2025-10-25,MDB,2026 Q2,1.0,0.6663
1.0,0.6693,2025-06-30,1,0.3307,49.4098,MDB,2026,2025-06-30,2025-07-25,2025-07-25,MDB,2026 Q1,1.0,0.6693
1.28,0.6822,2025-03-31,4,0.5978,87.6283,MDB,2025,2025-03-31,2025-04-25,2025-04-25,MDB,2025 Q4,1.28,0.6822
