actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
8.88,8.3992,2025-12-31,4,0.4808,5.7244,META,2025,2025-12-31,2026-01-25,2026-01-25,META,2025 Q4,8.88,8.3992
7.25,6.8245,2025-09-30,3,0.4255,6.2349,META,2025,2025-09-30,2025-10-25,2025-10-25,META,2025 Q3,7.25,6.8245
7.14,6.0352,2025-06-30,2,1.1048,18.3059,META,2025,2025-06-30,2025-07-25,2025-07-25,META,2025 Q2,7.14,6.0352
6.43,5.3859,2025-03-31,1,1.0441,19.3858,META,2025,2025-03-31,2025-04-25,2025-04-25,META,2025 Q1,6.43,5.3859
