actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
6.57,6.5106,2025-12-31,4,0.0594,0.9124,TMO,2025,2025-12-31,2026-01-25,2026-01-25,TMO,2025 Q4,6.57,6.5106
5.79,5.5478,2025-09-30,3,0.2422,4.3657,TMO,2025,2025-09-30,2025-10-25,2025-10-25,TMO,2025 Q3,5.79,5.5478
5.36,5.2753,2025-06-30,2,0.0847,1.6056,TMO,2025,2025-06-30,2025-07-25,2025-07-25,TMO,2025 Q2,5.36,5.2753
5.15,5.1535,2025-03-31,1,-0.0035,-0.0679,TMO,2025,2025-03-31,2025-04-25,2025-04-25,TMO,2025 Q1,5.15,5.1535
