actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
3.17,3.2026,2025-12-31,1,-0.0326,-1.0179,V,2026,2025-12-31,2026-01-25,2026-01-25,V,2026 Q1,3.17,3.2026
2.98,3.0257,2025-09-30,4,-0.0457,-1.5104,V,2025,2025-09-30,2025-10-25,2025-10-25,V,2025 Q4,2.98,3.0257
2.98,2.9021,2025-06-30,3,0.0779,2.6843,V,2025,2025-06-30,2025-07-25,2025-07-25,V,2025 Q3,2.98,2.9021
2.76,2.7349,2025-03-31,2,0.0251,0.9178,V,2025,2025-03-31,2025-04-25,2025-04-25,V,2025 Q2,2.76,2.7349
