actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
6.2,3.5172,2025-12-31,2,2.6828,76.2766,SNDK,2026,2025-12-31,2026-01-25,2026-01-25,SNDK,2026 Q2,6.2,3.5172
1.22,0.9543,2025-09-30,1,0.2657,27.8424,SNDK,2026,2025-09-30,2025-10-25,2025-10-25,SNDK,2026 Q1,1.22,0.9543
0.29,0.0416,2025-06-30,4,0.2484,597.1154,SNDK,2025,2025-06-30,2025-07-25,2025-07-25,SNDK,2025 Q4,0.29,0.0416
-0.3,-0.3932,2025-03-31,3,0.0932,23.703,SNDK,2025,2025-03-31,2025-04-25,2025-04-25,SNDK,2025 Q3,-0.3,-0.3932
