actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
13.16,12.3297,2025-12-31,4,0.8303,6.7341,BLK,2025,2025-12-31,2026-01-25,2026-01-25,BLK,2025 Q4,13.16,12.3297
11.55,11.3567,2025-09-30,3,0.1933,1.7021,BLK,2025,2025-09-30,2025-10-25,2025-10-25,BLK,2025 Q3,11.55,11.3567
12.05,10.9279,2025-06-30,2,1.1221,10.2682,BLK,2025,2025-06-30,2025-07-25,2025-07-25,BLK,2025 Q2,12.05,10.9279
11.3,10.2422,2025-03-31,1,1.0578,10.3279,BLK,2025,2025-03-31,2025-04-25,2025-04-25,BLK,2025 Q1,11.3,10.2422
