actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
3.74,3.9535,2025-12-31,3,-0.2135,-5.4003,HD,2026,2025-12-31,2026-01-25,2026-01-25,HD,2026 Q3,3.74,3.9535
4.68,4.8523,2025-09-30,2,-0.1723,-3.5509,HD,2026,2025-09-30,2025-10-25,2025-10-25,HD,2026 Q2,4.68,4.8523
3.56,3.7034,2025-06-30,1,-0.1434,-3.8721,HD,2026,2025-06-30,2025-07-25,2025-07-25,HD,2026 Q1,3.56,3.7034
3.02,3.0989,2025-03-31,4,-0.0789,-2.5461,HD,2025,2025-03-31,2025-04-25,2025-04-25,HD,2025 Q4,3.02,3.0989
