actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.52,0.4719,2025-12-31,4,0.0481,10.1928,T,2025,2025-12-31,2026-01-25,2026-01-25,T,2025 Q4,0.52,0.4719
0.54,0.5453,2025-09-30,3,-0.0053,-0.9719,T,2025,2025-09-30,2025-10-25,2025-10-25,T,2025 Q3,0.54,0.5453
0.54,0.5249,2025-06-30,2,0.0151,2.8767,T,2025,2025-06-30,2025-07-25,2025-07-25,T,2025 Q2,0.54,0.5249
0.51,0.4966,2025-03-31,1,0.0134,2.6983,T,2025,2025-03-31,2025-04-25,2025-04-25,T,2025 Q1,0.51,0.4966
