actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
2.84,2.7257,2025-12-31,1,0.1143,4.1934,AAPL,2026,2025-12-31,2026-01-25,2026-01-25,AAPL,2026 Q1,2.84,2.7257
1.85,1.8075,2025-09-30,4,0.0425,2.3513,AAPL,2025,2025-09-30,2025-10-25,2025-10-25,AAPL,2025 Q4,1.85,1.8075
1.57,1.4626,2025-06-30,3,0.1074,7.3431,AAPL,2025,2025-06-30,2025-07-25,2025-07-25,AAPL,2025 Q3,1.57,1.4626
1.65,1.6596,2025-03-31,2,-0.0096,-0.5785,AAPL,2025,2025-03-31,2025-04-25,2025-04-25,AAPL,2025 Q2,1.65,1.6596
