actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.88,2.0992,2025-12-31,4,-0.2192,-10.4421,TMUS,2025,2025-12-31,2026-01-25,2026-01-25,TMUS,2025 Q4,1.88,2.0992
2.59,2.457,2025-09-30,3,0.133,5.4131,TMUS,2025,2025-09-30,2025-10-25,2025-10-25,TMUS,2025 Q3,2.59,2.457
2.84,2.7238,2025-06-30,2,0.1162,4.2661,TMUS,2025,2025-06-30,2025-07-25,2025-07-25,TMUS,2025 Q2,2.84,2.7238
2.58,2.5121,2025-03-31,1,0.0679,2.7029,TMUS,2025,2025-03-31,2025-04-25,2025-04-25,TMUS,2025 Q1,2.58,2.5121
