actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
3.33,3.128,2025-12-31,4,0.202,6.4578,ELV,2025,2025-12-31,2026-01-25,2026-01-25,ELV,2025 Q4,3.33,3.128
6.03,4.9826,2025-09-30,3,1.0474,21.0212,ELV,2025,2025-09-30,2025-10-25,2025-10-25,ELV,2025 Q3,6.03,4.9826
8.84,9.0443,2025-06-30,2,-0.2043,-2.2589,ELV,2025,2025-06-30,2025-07-25,2025-07-25,ELV,2025 Q2,8.84,9.0443
11.97,11.4968,2025-03-31,1,0.4732,4.1159,ELV,2025,2025-03-31,2025-04-25,2025-04-25,ELV,2025 Q1,11.97,11.4968
