actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
0.5,0.4559,2025-12-31,4,0.0441,9.6732,TSLA,2025,2025-12-31,2026-01-25,2026-01-25,TSLA,2025 Q4,0.5,0.4559
0.5,0.5586,2025-09-30,3,-0.0586,-10.4905,TSLA,2025,2025-09-30,2025-10-25,2025-10-25,TSLA,2025 Q3,0.5,0.5586
0.4,0.4373,2025-06-30,2,-0.0373,-8.5296,TSLA,2025,2025-06-30,2025-07-25,2025-07-25,TSLA,2025 Q2,0.4,0.4373
0.27,0.399,2025-03-31,1,-0.129,-32.3308,TSLA,2025,2025-03-31,2025-04-25,2025-04-25,TSLA,2025 Q1,0.27,0.399
