actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
1.33,1.2611,2025-12-31,4,0.0689,5.4635,TWLO,2025,2025-12-31,2026-01-25,2026-01-25,TWLO,2025 Q4,1.33,1.2611
1.25,1.1057,2025-09-30,3,0.1443,13.0506,TWLO,2025,2025-09-30,2025-10-25,2025-10-25,TWLO,2025 Q3,1.25,1.1057
1.19,1.0674,2025-06-30,2,0.1226,11.4859,TWLO,2025,2025-06-30,2025-07-25,2025-07-25,TWLO,2025 Q2,1.19,1.0674
1.14,0.9623,2025-03-31,1,0.1777,18.4662,TWLO,2025,2025-03-31,2025-04-25,2025-04-25,TWLO,2025 Q1,1.14,0.9623
