date,WALCL,TGA,RRP,NetLiquidity,NetLiquidity_MoM,NetLiquidity_QoQ,NL_Percentile,NL_Volatility_30D,NL_MA20,NL_Trend
2024-01-03,7681024.0,758448.0,719.897,6921856.103,,,98.1651376146789,,,下降
2024-01-10,7686710.0,747565.0,679.961,6938465.039,,,100.0,,,下降
2024-01-17,7673741.0,748883.0,590.191,6924267.809,,,99.08256880733946,,,下降
2024-01-24,7677230.0,799358.0,639.56,6877232.44,,,97.24770642201835,,,下降
2024-01-31,7630124.0,841550.0,615.379,6787958.621,,,93.57798165137615,,,下降
2024-02-07,7631300.0,802135.0,553.055,6828611.945,,,96.3302752293578,,,下降
2024-02-14,7633874.0,838005.0,575.332,6795293.668,,,94.4954128440367,,,下降
2024-02-21,7581683.0,785465.0,574.882,6795643.118,,,95.41284403669725,,,下降
2024-02-28,7567807.0,785821.0,569.855,6781416.145,,,92.66055045871559,,,下降
2024-03-06,7538857.0,767733.0,456.847,6770667.153,,,90.82568807339449,,,下降
2024-03-13,7541969.0,768369.0,521.738,6773078.262,,,91.74311926605505,,,下降
2024-03-20,7514348.0,809298.0,496.245,6704553.755,,,88.9908256880734,,,下降
2024-03-27,7484739.0,802233.0,518.357,6681987.643,,,88.07339449541286,,,下降
2024-04-03,7439558.0,768651.0,436.631,6670470.369,,,87.1559633027523,,,下降
2024-04-10,7438176.0,704971.0,445.816,6732759.184,,,89.90825688073394,,,下降
2024-04-17,7405506.0,796535.0,440.508,6608530.492,,,86.23853211009175,,,下降
2024-04-24,7402434.0,941430.0,441.215,6460562.785,,,77.98165137614679,,,下降
2024-05-01,7362474.0,917177.0,438.148,6444858.852,,,75.22935779816514,,,下降
2024-05-08,7353408.0,851591.0,493.427,6501323.573,,,80.73394495412845,,,下降
2024-05-15,7304272.0,787133.0,443.779,6516695.221,,,81.65137614678899,,6725811.6088499995,下降
2024-05-22,7299566.0,725376.0,496.382,6573693.618,,,83.4862385321101,,6708403.4846,下降
2024-05-29,7284319.0,704335.0,459.314,6579524.686,,,84.40366972477065,,6690456.46695,下降
2024-06-05,7255687.0,710309.0,371.841,6545006.159,,,82.56880733944955,,6671493.38445,下降
2024-06-12,7258974.0,673573.0,447.574,6584953.426,,,85.3211009174312,,6656879.43375,下降
2024-06-26,7231163.0,765417.0,490.156,6465255.844,,,78.89908256880734,,6640744.2949,下降
2024-07-03,7221520.0,761373.0,425.898,6459721.102,,,77.06422018348624,,6622299.75275,下降
2024-07-10,7224079.0,736402.0,422.147,6487254.853,,,79.81651376146789,,6606897.812,下降
2024-07-17,7208247.0,751593.0,399.401,6456254.599,,,76.14678899082568,,6589928.38605,下降
2024-07-24,7205455.0,774315.0,399.121,6430740.879,,,74.31192660550458,,6572394.62275,下降
2024-07-31,7178391.0,786486.0,413.2,6391491.8,,,69.72477064220183,169211.59080348222,6553435.8551,下降
2024-08-07,7175256.0,770931.0,286.66,6404038.34,-7.480909098580845,,71.55963302752293,166883.9276568091,6534983.858999999,下降
2024-08-14,7177688.0,794120.0,328.472,6383239.528,-8.002137473910532,,68.80733944954129,162501.7694166854,6518918.14765,下降
2024-08-21,7139952.0,736494.0,321.329,6403136.671,-7.526155145568547,,70.64220183486239,155900.2029738817,6504975.599049999,下降
2024-08-28,7123238.0,745851.0,388.89,6376998.11,-7.273773779849146,,66.05504587155964,151532.67489846516,6490301.986099999,下降
2024-09-04,7112567.0,733959.0,337.312,6378270.688,-6.03551017138707,,66.97247706422019,150589.488705277,6472577.5613,下降
