actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,period_date,report_date,date,ticker,FiscalPeriod,epsActual,epsEstimate
4.52,4.3628,2025-12-31,4,0.1572,3.6032,IBM,2025,2025-12-31,2026-01-25,2026-01-25,IBM,2025 Q4,4.52,4.3628
2.65,2.4701,2025-09-30,3,0.1799,7.2831,IBM,2025,2025-09-30,2025-10-25,2025-10-25,IBM,2025 Q3,2.65,2.4701
2.8,2.6695,2025-06-30,2,0.1305,4.8886,IBM,2025,2025-06-30,2025-07-25,2025-07-25,IBM,2025 Q2,2.8,2.6695
1.6,1.4163,2025-03-31,1,0.1837,12.9704,IBM,2025,2025-03-31,2025-04-25,2025-04-25,IBM,2025 Q1,1.6,1.4163
