Ticker,Date,Price,Price_MA20,Price_MA50,Price_MA200,RSI,RSI_Score,Momentum_5,Momentum_10,Momentum_Score,Volume_Ratio,Volume_Score,Short_Score,Short_Rating,MA_Trend_Score,MA_Trend_Score_Points,MA20_Dist,MA50_Dist,MA_Dist_Score,MACD_Histogram,MACD_Score,Volatility_10,Vol_Score,Mid_Score,Mid_Rating,Price_Position_20D,Trend_Score,Trend_Rating,Total_Score,Max_Score,Score_Pct,Rating,Signal,Return_1D,Return_5D,Return_20D,Rank
NVDA,2026-02-23,191.55,186.40900000000002,184.9316,173.57498999999999,55.818965517241125,10,4.780920080958384,3.3115797421929827,10,1.0676174920884929,5,25,强,5,15,2.7579140492143566,3.578836715845214,2.7579140492143566,0.6201982363419378,10,23.574813134258022,5,32.75791404921436,强,87.4680306905371,30,强,87.75791404921435,100,87.75791404921435,强烈看涨,BUY,0.9113897376461955,4.780920080958384,2.067458837320846,1
VZ,2026-02-23,49.68,46.018,42.46280000000001,42.404450000000004,76.76874340021118,3,1.3670679453172907,7.277045994385656,10,1.1091618484720511,5,18,中,5,15,7.9577556608283695,16.996524016315433,7.9577556608283695,0.15976662421974952,10,22.40194240359741,5,37.95775566082837,强,92.9552503322995,30,强,85.95775566082837,100,85.95775566082837,强烈看涨,BUY,0.8730964467005053,1.3670679453172907,25.70850202429149,2
FDX,2026-02-23,383.71,355.789,320.9946,257.7075,85.1868004070359,3,2.3991246797608667,3.921674836822575,10,1.1559173544943946,5,18,中,5,15,7.847628791221761,19.5378364620464,7.847628791221761,1.1390094141943123,10,17.649601942767095,5,37.847628791221766,强,91.24683055892405,30,强,85.84762879122177,100,85.84762879122177,强烈看涨,BUY,-1.2278624382207726,2.3991246797608667,26.13326320633773,3
GE,2026-02-23,338.99,314.68600000000004,312.5444,283.305,74.38788659793813,3,7.475983640341144,5.604361370716515,10,1.0342953597542393,5,18,中,5,15,7.723254291579533,8.461389805736404,7.723254291579533,3.3015543707025032,10,26.303984380321516,5,37.723254291579536,强,90.16120066703725,30,强,85.72325429157954,100,85.72325429157954,强烈看涨,BUY,-1.2324456616747304,7.475983640341144,15.353727838840303,4
TSM,2026-02-23,370.04,350.95950000000005,327.3388,269.2869,66.23641304347828,5,1.0044764712304755,6.074243944388713,10,1.1293961668002124,5,20,中,5,15,5.436667193793007,13.044955257366384,5.436667193793007,0.6166528828675251,10,27.07985309183233,5,35.43666719379301,强,83.65337272279669,30,强,85.436667193793,100,85.436667193793,强烈看涨,BUY,-0.13493819830517895,1.0044764712304755,10.50258309194614,5
MRK,2026-02-23,123.82,116.799,110.24780000000001,90.7525,75.93052109181139,3,1.9850094720369027,1.5500697121298979,10,1.056065766369749,5,18,中,5,15,6.0111816025822025,12.310631141845896,6.0111816025822025,0.2445962042378369,10,24.093753147541374,5,36.0111816025822,强,97.96255506607928,30,强,84.0111816025822,100,84.0111816025822,强烈看涨,BUY,1.2759692458694571,1.9850094720369027,14.457385838417448,6
UNP,2026-02-23,263.76,250.59649999999996,239.5932,228.94565000000003,84.34866361666265,3,1.1815252416756072,4.409785448499726,10,0.8674721738770592,5,18,中,5,15,5.2528666601488965,10.086596781544717,5.2528666601488965,0.9878943905981803,10,17.447525894667837,5,35.2528666601489,强,89.92035838725731,30,强,83.2528666601489,100,83.2528666601489,强烈看涨,BUY,-0.8793686583991045,1.1815252416756072,14.853037230568255,7
SYK,2026-02-23,384.73,365.0215,360.2508,374.74159999999995,65.49019607843141,5,5.103127987979783,7.379497055457862,10,0.8791459129157911,5,20,中,4,12,5.399271001845101,6.795043897196061,5.399271001845101,2.285214706999502,10,17.298141118457618,5,32.3992710018451,强,91.04016477857888,30,强,82.39927100184511,100,82.39927100184511,强烈看涨,BUY,1.183494200878421,5.103127987979783,8.362438035150976,8
ABBV,2026-02-23,229.48,224.17400000000004,223.9812,211.47635,54.460966542750924,10,-0.8725701943844588,2.7077831983171485,5,0.8945151184973484,5,20,中,5,15,2.366911417024255,2.4550274755202617,2.366911417024255,0.601699052793414,10,25.600562687948297,5,32.366911417024255,强,81.3753433677965,30,强,82.36691141702426,100,82.36691141702426,强烈看涨,BUY,2.0773097282149378,-0.8725701943844588,4.661132901578036,9
ASML,2026-02-23,1485.99,1425.1910050000001,1277.39709,964.803421,56.22071313362703,10,5.6433553010429405,5.16486082901042,10,1.078082880332981,5,25,强,5,15,4.266024328437287,16.329527570788507,4.266024328437287,-2.258618582318455,3,24.45313165976584,5,27.266024328437286,中,95.78107588483272,30,强,82.26602432843728,100,82.26602432843728,强烈看涨,BUY,1.1159575119591203,5.6433553010429405,6.979640615101079,10
MCD,2026-02-23,334.56,323.179,315.0328,307.23985,72.48246844319777,3,2.130777214726187,2.2618902066267266,10,1.0160530047015357,5,18,中,5,15,3.521577825291875,6.198465683573263,3.521577825291875,0.5408674692581643,10,19.004498780089087,5,33.52157782529187,强,95.68093385214003,30,强,81.52157782529187,100,81.52157782529187,强烈看涨,BUY,1.6189290161892744,2.130777214726187,8.184316895715437,11
CAT,2026-02-23,756.47,715.8145000000001,650.1326,498.5987,66.33120765245118,5,-2.2901059157840353,4.168273202974393,5,0.860311656209162,5,15,弱,5,15,5.679613922322048,16.356263322282256,5.679613922322048,0.283815174814535,10,32.24128019358666,5,35.67961392232205,强,80.45143465595936,30,强,80.67961392232205,100,80.67961392232205,强烈看涨,BUY,-0.43041040355911164,-2.2901059157840353,20.722287829944786,12
TMUS,2026-02-23,219.95,203.16400000000002,198.65439999999998,223.98487999999998,76.76962676962671,3,0.20501138952162545,11.42915041288819,10,0.8951005796297301,5,18,中,3,9,8.262290563288758,10.719923646292258,8.262290563288758,1.9754992360459873,10,33.0359468797839,5,32.26229056328876,强,89.42259181718698,30,强,80.26229056328876,100,80.26229056328876,强烈看涨,BUY,2.083913487422251,0.20501138952162545,18.23361823361822,13
TJX,2026-02-23,157.69,153.3075,154.749,140.39015,67.88772597526167,5,2.091156286417184,1.1741306300526055,10,1.2027115855864898,5,20,中,4,12,2.8586337915627045,1.900496933744323,2.8586337915627045,0.5856637615999725,10,20.917670417304937,5,29.858633791562703,中,81.06630211893362,30,强,79.85863379156271,100,79.85863379156271,看涨,BUY,-0.34127535865511316,2.091156286417184,2.903941529626719,14
LIN,2026-02-23,498.19,468.35249999999996,445.09200000000004,453.88635,71.55651286702188,3,3.5738045738045843,11.143583794395862,10,0.8219989451448683,5,18,中,4,12,6.370735717221546,11.929668473034777,6.370735717221546,2.7114367841316724,10,8.617567204353396,3,31.370735717221546,强,95.79133510167995,30,强,79.37073571722155,100,79.37073571722155,看涨,BUY,0.33836176512054283,3.5738045738045843,10.323980778173937,15
EOG,2026-02-23,122.31,115.2885,109.59559999999999,113.47705,76.30582891748672,3,1.3087053756315692,7.572559366754628,10,0.7304217132925781,5,16,弱,4,12,6.090373280943028,11.601195668439255,6.090373280943028,0.7944107926271209,10,30.456252686037782,5,33.09037328094303,强,80.29381965552179,30,强,79.09037328094303,100,79.09037328094303,看涨,BUY,-0.6256093597659995,1.3087053756315692,12.905012461921906,16
T,2026-02-23,28.52,26.903499999999998,25.2542,26.8019,74.8878923766816,3,-0.5925409550366023,5.123479542941389,5,1.2799550063167437,5,15,弱,4,12,6.008511903655666,12.931710368968325,6.008511903655666,0.05437427011734397,10,27.325051736965587,5,33.008511903655666,强,87.71653543307085,30,强,78.00851190365566,100,78.00851190365566,看涨,BUY,1.9299499642601914,-0.5925409550366023,20.89868588384909,17
BMY,2026-02-23,61.25,58.4785,56.05700000000001,49.121100000000006,72.67343485617596,3,0.8396443859071345,-1.1937409259557996,5,0.9801105926832233,5,13,弱,5,15,4.73934864950367,9.263785075904865,4.73934864950367,0.04430736796968193,10,18.296592736577495,5,34.73934864950367,强,89.79591836734697,30,强,77.73934864950367,100,77.73934864950367,看涨,BUY,0.9726343554236738,0.8396443859071345,12.07685269899359,18
